lp,słowo,liczba,etykieta
314,myśl,9,ADCCA
315,otworzyć,9,BCCA
316,psychiczny,9,CAB
317,klub,9,ACAAAAA
318,szkoła,9,ADAAA
319,geir,9,-
320,pochodzenie,9,AEBAA
321,wówczas,9,FC
322,książka,9,ADAB
323,lepszy,9,CAB
324,wtorek,9,ACABA
325,kwiecień,9,ACACBAA
326,konwencja,9,ADACBAA
327,społeczny,9,CAB
328,akt,9,ACAAAAA
329,główny,9,CAB
330,zwolennik,9,AAACBA
331,masowy,9,CAB
332,ekspert,9,AAADAA
333,wielokrotnie,9,FC
334,demokracja,9,ADACBAA
335,młodzieżowy,9,CAB
336,godz,9,-
337,przedterminowy,9,CAB
338,temat,9,ACAAAAA
339,tortura,8,ADAAA
340,rozpocząć,8,BAFCB
341,nazywać,8,BDA
342,nawóz,8,ACAAAAA
343,pojawiać się,8,-
344,oko,8,AEAAAA
345,rządzący,8,AAEB
346,sobota,8,ADAAA
347,młody,8,AAEC
348,pobyt,8,ACAAAAA
349,przegrać,8,BDA
350,prawnik,8,AAACBA
351,wynik,8,ACABA
352,zabity,8,BAFB
353,ogień,8,ACACBAA
354,wysłać,8,BAAFA
355,ochrona,8,ADAAA
356,ograniczenie,8,AEBAA
357,rzecz,8,ADCB
358,dziennik,8,ACABBA
359,droga,8,ADAB
360,adrian,8,-
361,wciąż,8,FC
362,źródło,8,AEAAAB
363,częsty,8,CAB
364,opublikowany,8,BAAA
365,apelacyjny,8,CAB
366,neonazista,8,AABDAA
367,podkreślić,8,BBCA
368,jeść,8,BDD
369,postęp,8,ACAAAAA
370,popełnić,8,BBCA
371,zmienić,8,BBCA
372,nazwisko,8,AEAAAA
373,próba,8,ADAAA
374,współczesny,8,AAEC
375,usa,8,-
376,powstrzymać,8,BDA
377,różny,8,CAB
378,głos,8,ACAAAAA
379,islamista,8,AABDAA
380,duży,8,CAB
381,strajk,7,ACABA
382,głodowy,7,CAB
383,zakład,7,ACAAAAA
384,narzekać,7,BDA
385,większy,7,CAB
386,minister,7,AAAAAA
387,sprawiedliwość,7,ADCCA
388,traktować,7,BAAA
389,zabicie,7,AEBAA
390,dać,7,BDC
391,kilkadziesiąt,7,DBFA
392,mieszkaniec,7,AAACBA
393,półtorej,7,DF
394,policyjny,7,CAB
395,podobać się,7,-
396,próbować,7,BAAA
397,niektóry,7,AAEB
398,widzieć,7,BBBA
399,przebywający,7,BDA
400,agencja,7,ADACBAA
401,poniedziałek,7,ACABA
402,storrvik,7,-
403,najbardziej,7,FC
404,tragiczny,7,CAB
405,mowa,7,ADAAA
406,rzekomy,7,CAB
407,zarówno,7,FC
408,trwać,7,BDA
409,wpływ,7,ACAAAAA
410,takiej,7,-
411,dyskusja,7,ADACBAA
412,poważny,7,CAB
413,święta,7,ADACCBA
414,instancja,7,ADACBAA
415,tyle,7,EHBA
416,potrzebować,7,BAAA
417,pułapka,7,ADAB
418,rozmowa,7,ADAAA
419,zatrzymać,7,BDA
420,angielski,7,ACD
421,ugrupowanie,7,AEBAA
422,opublikować,7,BAAA
423,zdjęcie,7,AEBAA
424,uznawać,7,BAAE
425,przeprowadzić,7,BBCA
426,ii,7,-
427,marsz,7,ABAAAB
428,imię,7,AECB
429,prowadzić,7,BBCA
430,ideologiczny,7,CAB
431,gotowy,7,CAB
432,otwarty,7,CAB
433,deklaracja,7,ADACBAA
434,niepodległość,7,ADCCA
435,liberalny,7,CAB
436,kupić,7,BBCA
437,syn,7,AAAAB
438,doświadczenie,7,AEBAA
439,podobny,7,CAB
440,wymierzony,7,CAB
441,tekst,7,ACAAAAA
442,tydzień,7,ACACBAA
443,piątkowy,7,CAB
444,nauka,7,ADAB
445,znajdować,7,BAAA
446,okres,7,ACAAAAA
447,abw,7,-
448,naśladowca,7,AABCBB
449,europa,7,-
450,oznaczać,7,BDA
451,uniwersytet,7,ACAAAAA
452,rosyjski,7,ACD
453,ks,7,-
454,playstation,6,-
455,młodzieżówka,6,-
456,ulica,6,ADACABB
457,handlowy,6,CAB
458,wyjść,6,AEBAA
459,sztuczny,6,CAB
460,siedem,6,DBBA
461,dotrzeć,6,BABA
462,bezpieczny,6,CAB
463,wyciągnąć,6,BAEAA
464,prostu,6,-
465,wyglądać,6,BDA
466,chodzić,6,BBCA
467,ląd,6,ACAAAAA
468,woda,6,ADAAA
469,najpierw,6,FC
470,łódź,6,ADCAAA
471,siedzieć,6,BBBA
472,telefon,6,ACAAAAA
473,pozwać,6,BAAFB
474,powód,6,AAAAAA
475,badanie,6,AEBAA
476,stracić,6,BBCA
477,podłożyć,6,BCCA
478,wziąć,6,BAFCAC
479,kwiat,6,ACAAAAA
480,rozprawa,6,ADAAA
481,przepis,6,ACAAAAA
482,strzelecki,6,CBA
483,wiek,6,ACABA
484,podać,6,BDC
485,obrońca,6,AABCBB
486,psychicznie,6,FB
487,robić,6,BBCA
488,tłumacz,6,AAABD
489,psychiatra,6,AABCBAB
490,zabójca,6,AABCBB
491,przyjaciel,6,AAABBB
492,wywiad,6,ACAAAAA
493,udać,6,BDC
494,obecny,6,AAEC
495,relacja,6,ADACBAA
496,początek,6,ACABA
497,dodać,6,BDC
498,skutek,6,ACABA
499,opisywać,6,BAAB
500,poniżający,6,BDA
501,swoboda,6,ADAAA
502,publiczny,6,CAB
503,osadzić,6,BBCA
504,groźny,6,CAB
505,narodowy,6,CAB
506,król,6,AAAAB
507,przejść,6,AEBAA
508,wyjście,6,AEBAA
509,zapobiec,6,BAFAAB
510,konieczny,6,CAB
511,kwestia,6,ADACBAA
512,pierwszy,6,CAB
513,prawdziwy,6,CAB
514,firma,6,ADAAA
515,substancja,6,ADACBAA
516,templariusz,6,AAABD
517,karabin,6,ACAAAAA
518,wróg,6,AAAAB
519,znany,6,BDA
520,dokument,6,ACAAAAA
521,pogląd,6,ACAAAAA
522,liga,6,ADAB
523,utrzymywać,6,BAAB
524,poinformować,6,BAAA
525,reakcja,6,ADACBAA
526,zdetonować,6,BAAA
527,al,6,-
528,odpowiedzialny,6,CAB
529,zarzut,6,ACAAAAA
530,zdrowy,6,AAEC
531,żądać,6,BDA
532,tys,6,-
533,norwegów,6,-
534,decyzja,6,ADACBAA
535,autor,6,AAACAAAB
536,własny,6,CAB
537,krwawy,6,CAB
538,pobliże,6,AEBAB
539,dramat,6,ACAAAAA
540,łączeń,6,AEBAA
541,rasizm,6,ACAAAAA
542,chemiczny,6,CAB
543,adres,6,ACAAAAA
544,krytyczny,6,CAB
545,dodatek,6,ACABA
546,zachodni,6,CBB
547,wola,6,ADACBAA
548,szwedzki,6,CBA
549,dokładnie,6,FB
550,zamordować,5,BAAA
551,wyrazić,5,BBCA
552,zewnętrzny,5,CAB
553,przechodzić,5,BBCA
554,skończyć,5,BCCA
555,przedłużenie,5,AEBAA
556,center,5,AAACAAAB
557,jensa,5,-
558,stoltenberga,5,-
559,eksplodować,5,BAAA
560,promień,5,ACACBAA
561,odłamek,5,ACABBA
562,długo,5,FA
563,wysepka,5,ADAB
564,spokojny,5,CAB
565,przerażony,5,BBCA
566,uciec,5,BAFAAB
567,trzy,5,DBAA
568,szukać,5,BDA
569,kłopot,5,ACAAAAA
570,przekonywać,5,BAAB
571,wytoczyć,5,BCCA
572,myśleć,5,BBBA
573,dobro,5,AEAAAA
574,złożyć,5,BCCA
575,dobre,5,AEBBB
576,andreas,5,-
577,uroczystość,5,ADCCA
578,nato,5,-
579,potrzeba,5,ADAAA
580,faszystowski,5,CBA
581,dostać,5,BAFABD
582,sześć,5,DBBA
583,trybunał,5,ACAAAAA
584,dotyczący,5,CAA
585,podobnie,5,FB
586,uzbroić,5,BBCA
587,pozwolenie,5,AEBAA
588,zdrowie,5,AEBAC
589,parlament,5,ACAAAAA
590,wystarczyć,5,BCCA
591,wyższy,5,CAB
592,wskazywać,5,BAAB
593,chory,5,AAEB
594,prokuratura,5,ADAAA
595,jaką,5,-
596,obywatelski,5,CBA
597,luty,5,ACAAAAA
598,niebezpieczny,5,CAB
599,polak,5,-
600,związany,5,BAAFA
601,wybuchnąć,5,BAEAA
602,lippestadt,5,-
603,środa,5,ADAAA
604,akcja,5,ADACBAA
605,czwartek,5,ACABA
606,posłużyć,5,BCCA
607,kobieta,5,ADAAA
608,chłopiec,5,AAACAB
609,tv,5,-
610,mieszkać,5,BDA
611,znać,5,BDA
612,walczyć,5,BCCA
613,trzymanie,5,AEBAA
614,jakość,5,ADCCA
615,znieść,5,BAFCAA
616,dokonany,5,BDA
617,zaatakować,5,BAAA
618,najgorszy,5,AEBAB
619,utożsamiać,5,BDA
620,zarzucany,5,BDA
621,inwazja,5,ADACBAA
622,artykuł,5,ACAAAAA
623,skazany,5,BAAFA
624,wcześniej,5,FC
625,wzór,5,ACAAAAA
626,rycerz,5,AAABD
627,ubrać,5,BAAFA
628,zapisać,5,BAAFA
629,islamizacja,5,ADACBAA
630,spodziewać się,5,-
631,internetowych,5,-
632,poprawność,5,ADCCA
633,przyjąć,5,BAFCB
634,poza,5,ADAAA
635,inspiracja,5,ADACBAA
636,czerpać,5,BAAFA
637,polsce,5,-
638,założyć,5,BCCA
639,glock,5,-
640,wstrząsnąć,5,BAEAA
641,przyznawać,5,BAAE
642,potwierdzić,5,BBCA
643,wartość,5,ADCCA
644,otwartość,5,ADCCA
645,tolerancja,5,ADACBAA
646,sędzia,5,AABAA
647,południe,5,AEBAC
648,pozbyć się,5,-
649,komisja,5,ADACBAA
650,zamknięty,5,BAEAA
651,zgoda,5,ADAAA
652,ktoś,5,EFC
653,wierzyć,5,BCCA
654,komórka,5,ADAB
655,wieczorem,5,FC
656,śledztwo,5,AEAAAB
657,demokratyczny,5,CAB
658,ewentualny,5,CAB
659,matka,5,ADAB
660,sytuacja,5,ADACBAA
661,moment,5,ACAAAAA
662,urzędnik,5,AAACBA
663,jednocześnie,5,FB
664,obywatel,5,AAABCA
665,prezydent,5,AAADAA
666,fakt,5,ACAAAAA
667,punkt,5,ACAAAAA
668,ue,5,-
669,homogeniczny,5,CAB
670,niemiecki,5,ACD
671,obcy,5,AAEB
672,mama,5,ADAAA
673,ośrodek,5,ACABBA
674,system,5,ACAAAAA
675,studiować,5,BAAA
676,konserwatywny,5,CAB
677,najważniejszy,5,CAB
678,rosji,5,-
679,analiza,5,ADAAA
680,film,5,ACAAAAA
681,karny,4,ABC
682,przedstawiać,4,BDA
683,model,4,AAABCA
684,konsola,4,ADACBAA
685,moi,4,AFFC
686,dorosły,4,AAEC
687,pieniądz,4,ACACBBB
688,osobisty,4,CAB
689,typ,4,AAACAAAB
690,ostrzegać,4,BDA
691,zapowiadać,4,BDA
692,przestać,4,BAFABD
693,zdołać,4,BDA
694,dobijać,4,BDA
695,panować,4,BAAA
696,silny,4,CAB
697,okno,4,AEAAAB
698,uwięziony,4,CAB
699,usiłować,4,BAAA
700,sieć,4,ADCCA
701,teren,4,ACAAAAA
702,km,4,-
703,tysiąc,4,ABAAC
704,harlem,4,-
705,brundtland,4,-
706,zaniepokojony,4,BBCA
707,pokazać,4,BAAFA
708,przyjechać,4,BAAFA
709,poprosić,4,BBCA
710,automatyczny,4,CAB
711,amunicja,4,ADACBAA
712,zmieniać,4,BDA
713,poczucie,4,AEBAA
714,uciekać,4,BDA
715,chować,4,BDA
716,zdążyć,4,BCCA
717,udawać,4,BAAE
718,martwy,4,AAEC
719,przeżycie,4,AEBAA
720,ciało,4,AEAAAB
721,ukrywać,4,BDA
722,bać się,4,-
723,siostra,4,ADAAA
724,apel,4,ACACAA
725,kontaktować,4,BAAA
726,natychmiast,4,FC
727,dużo,4,DF
728,podawać,4,BAAE
729,samobójczy,4,CAA
730,radzić,4,BBCA
731,sala,4,ADACBABA
732,dyspozycja,4,ADACBAA
733,zapowiedzieć,4,BDC
734,przedłużony,4,CAB
735,reprezentować,4,BAAA
736,dobry,4,CAA
737,pokazywać,4,BAAB
738,dzisiaj,4,ACF
739,krótki,4,CBA
740,zorganizować,4,BAAA
741,dzisiejszy,4,CAB
742,szef,4,AAAAAA
743,dekada,4,ADAAA
744,maszynowy,4,CAB
745,projekt,4,ACAAAAA
746,forma,4,ADAAA
747,stawiać,4,BDA
748,szwecji,4,-
749,używać,4,BDA
750,granica,4,ADACABB
751,wczoraj,4,ACF
752,sądzić,4,BBCA
753,prawda,4,ADAAA
754,dotyczyć,4,BCCA
755,izolować,4,BAAA
756,długoletni,4,CBB
757,wymieniony,4,BBCA
758,szczególnie,4,FB
759,załamanie,4,AEBAA
760,wygląd,4,ACAAAAA
761,pogodzić,4,BBCA
762,pytanie,4,AEBAA
763,dzwonić,4,BBCA
764,kamień,4,ACACBAA
765,zrezygnować,4,BAAA
766,powoływać,4,BAAB
767,konferencja,4,ADACBAA
768,prasowy,4,CAB
769,działalność,4,ADCCA
770,współpracować,4,BAAA
771,zachowanie,4,AEBAA
772,lubić,4,BBCA
773,czerwony,4,CAB
774,przybyć,4,AEBAA
775,iraku,4,-
776,kancelaria,4,ADACBAA
777,skien,4,-
778,odbywanie,4,AEBAA
779,breivikowi,4,-
780,sprzeczny,4,CAB
781,karanie,4,AEBAA
782,poszanowanie,4,AEBAA
783,prywatny,4,CAB
784,dopuszczać,4,BDA
785,obie,4,DABCA
786,oglądać,4,BDA
787,jedzenie,4,AEBAA
788,potrwać,4,BDA
789,zamordowanie,4,AEBAA
790,przedłużanie,4,AEBAA
791,szok,4,ACABA
792,milczenie,4,AEBAA
793,określić,4,BBCA
794,orzec,4,BAFAABA
795,konflikt,4,ACAAAAA
796,potrzebny,4,CAB
797,churchilla,4,-
798,miłośnik,4,AAACBA
799,zdrajca,4,AABCBB
800,kulturowy,4,CAB
801,ziemia,4,ADACBABA
802,misja,4,ADACBAA
803,imigracja,4,ADACBAA
804,podstawowy,4,CAB
805,zimny,4,CAB
806,kluczowy,4,CAB
807,liczący,4,CAA
808,wersja,4,ADACBAA
809,marksizm,4,ACAAAAA
810,elita,4,ADAAA
811,chęć,4,ADCCA
812,unia,4,ADACBAA
813,naród,4,ACAAAAA
814,zjednoczony,4,CAB
815,mln,4,-
816,młodość,4,ADCCA
817,krytykować,4,BAAA
818,siła,4,ADAAA
819,podjąć,4,BAFCB
820,of,4,-
821,wildersa,4,-
822,ton,4,ACAAAAA
823,bliski,4,CBA
824,milion,4,ACAABAA
825,zobaczyć,4,BCCA
826,brytanii,4,-
827,wysadzić,4,BBCA
828,federalny,4,CAB
829,oklahoma,4,-
830,city,4,-
831,wrzesień,4,ACACBAA
832,atakować,4,BAAA
833,zapewniać,4,BDA
834,przesłuchanie,4,AEBAA
835,niewinny,4,CAB
836,zgodzić,4,BBCA
837,kultura,4,ADAAA
838,psychologiczny,4,CAB
839,spotkanie,4,AEBAA
840,wygrać,4,BDA
841,pięcie się,4,-
842,humanitarny,4,CAB
843,londynie,4,-
844,wynikający,4,BDA
845,niedaleko,4,FC
846,organizator,4,AAACAAAB
847,korzystać,4,BDA
848,wyraz,4,ACAAAAA
849,papa,4,AABABA
850,nazwa,4,ADAAA
851,łukasz,4,-
852,ilość,4,ADCCA
853,ujawnić,4,BBCB
854,znaczenie,4,AEBAA
855,nasz,4,EAABA
856,rzeczywistość,4,ADCCA
857,cytować,4,BAAA
858,podstawa,4,ADAAA
859,znajda,4,AABCBAA
860,miesiąc,4,ACACBBA
861,fundamentalizm,4,-
862,lęk,4,ACABA
863,najpewniej,4,FC
864,znaczyć,4,BCCA
865,mniejszość,4,ADCCA
866,decydowany,4,BAAA
867,opinia,4,ADACBAA
868,uniknąć,4,BAEAA
869,taką,4,-
870,pozostać,4,BAFABD
871,swoisty,4,CAB
872,dostępny,4,CAB
873,przedstawiciel,4,AAABCA
874,spełniać,4,BDA
875,zabrać,4,BAAFA
876,zgadzać się,4,-
877,międzynarodowy,4,CAB
878,mord,4,ACAAAAA
879,facebooku,4,-
880,putin,4,-
881,dworzec,4,ACACBC
882,debata,4,ADAAA
883,behringa,4,-
884,liczba,4,ADAAA
885,aresztować,4,BAAA
886,zagrozić,4,BBCA
887,deportacja,4,ADACBAA
888,ws,4,-
889,postawa,4,ADAAA
890,zły,4,ABC
891,oskarżać,4,BDA
892,viljar,4,-
893,geller,4,-
894,fahre,4,-
895,torturować,3,BAAA
896,wymiana,3,ADAAA
897,nowszy,3,-
898,współwięzień,3,AAAAB
899,grać,3,BDA
900,sprawdzany,3,BDA
901,oczekiwać,3,BAAC
902,znaczek,3,ACABBA
903,codzienny,3,CAB
904,komputer,3,ACAABAA
905,egzekucja,3,ADACBAA
906,biuro,3,AEAAAB
907,szpital,3,ACACBAA
908,żołnierz,3,AAABD
909,szybka,3,ADAB
910,leżący,3,CAA
911,północny,3,CAB
912,pole,3,AEBAA
913,mortensen,3,-
914,ważny,3,CAB
915,sięgnąć,3,BAEAA
916,rodzaj,3,ACACACB
917,przerażająco,3,FC
918,metodyczny,3,CAB
919,pewność,3,ADCCA
920,horror,3,ACAAAAA
921,magnus,3,-
922,jezioro,3,AEAAAB
923,metr,3,AAAAAA
924,łóżko,3,AEAAAA
925,wejść,3,AEBAA
926,kochać,3,BDA
927,ty,3,EIA
928,wiedza,3,ADACABB
929,dźwięk,3,ACABA
930,sens,3,ACAAAAA
931,zadzwonić,3,BBCA
932,jednostka,3,ADAB
933,helikopter,3,ACAABAA
934,łamać,3,BAAFA
935,zakończyć,3,BCCA
936,fanatyk,3,AAACBA
937,zeznać,3,BDA
938,codziennie,3,FC
939,uciążliwy,3,CAB
